建物種別,建物名,路線情報,駅名,賃料,管理費,月額
賃貸マンション,ワンルーフレジデンス錦糸町,ＪＲ総武線/亀戸駅 歩7分,亀戸,15.9,1.2,17.1
賃貸マンション,ワンルーフレジデンス錦糸町,ＪＲ総武線/亀戸駅 歩7分,亀戸,16.5,1.2,17.7
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,15.75,1.5,17.25
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,15.85,1.5,17.35
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,15.95,1.5,17.45
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,16.05,1.5,17.55
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,16.05,1.5,17.55
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,16.15,1.5,17.65
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,16.25,1.5,17.75
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,16.25,1.5,17.75
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,16.35,1.5,17.85
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,20.9,1.5,22.4
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,21.0,1.5,22.5
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,21.2,1.5,22.7
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,21.5,1.5,23.0
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,21.7,1.5,23.2
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,21.9,1.5,23.4
賃貸マンション,S-RESIDENCE押上epure,東武伊勢崎線/押上駅 歩3分,押上,22.0,1.5,23.5
賃貸アパート,セレナウエスト（Ｎｅａｒｌｙ　ＺＥＨ）,京急本線/六郷土手駅 歩7分,六郷土手,14.4,0.5,14.9
賃貸アパート,京急本線 六郷土手駅 3階建 新築,京急本線/六郷土手駅 歩7分,六郷土手,14.4,0.5,14.9
賃貸マンション,スタイリオ目黒大橋ＨＩＬＬＳＩＤＥ,東急田園都市線/池尻大橋駅 歩5分,池尻大橋,34.1,2.0,36.1
賃貸マンション,スタイリオ目黒大橋ＨＩＬＬＳＩＤＥ,東急田園都市線/池尻大橋駅 歩5分,池尻大橋,34.6,2.0,36.6
賃貸マンション,スタイリオ目黒大橋ＨＩＬＬＳＩＤＥ,東急田園都市線/池尻大橋駅 歩5分,池尻大橋,34.6,2.0,36.6
賃貸マンション,スタイリオ目黒大橋ＨＩＬＬＳＩＤＥ,東急田園都市線/池尻大橋駅 歩5分,池尻大橋,35.1,2.0,37.1
賃貸マンション,スタイリオ目黒大橋ＨＩＬＬＳＩＤＥ,東急田園都市線/池尻大橋駅 歩5分,池尻大橋,37.8,2.0,39.8
賃貸マンション,スタイリオ目黒大橋ＨＩＬＬＳＩＤＥ,東急田園都市線/池尻大橋駅 歩5分,池尻大橋,38.3,2.0,40.3
賃貸マンション,GENOVIA墨田文花skygarden,東武亀戸線/小村井駅 歩2分,小村井,13.0,1.3,14.3
賃貸マンション,パークアクシス新宿百人町,ＪＲ中央線/大久保駅 歩6分,大久保,18.4,1.8,20.2
賃貸マンション,パークアクシス新宿百人町,ＪＲ中央線/大久保駅 歩6分,大久保,18.6,1.8,20.400000000000002
賃貸マンション,パークアクシス新宿百人町,ＪＲ中央線/大久保駅 歩6分,大久保,18.6,1.8,20.400000000000002
賃貸マンション,パークアクシス新宿百人町,ＪＲ中央線/大久保駅 歩6分,大久保,20.2,1.8,22.0
賃貸マンション,パークアクシス新宿百人町,ＪＲ中央線/大久保駅 歩6分,大久保,20.8,1.8,22.6
賃貸マンション,パークアクシス新宿百人町,ＪＲ中央線/大久保駅 歩6分,大久保,21.0,1.8,22.8
賃貸マンション,パークアクシス新宿百人町,ＪＲ中央線/大久保駅 歩6分,大久保,22.0,1.8,23.8
賃貸マンション,パークアクシス新宿百人町,ＪＲ中央線/大久保駅 歩6分,大久保,22.5,1.8,24.3
