建物種別,建物名,路線情報,駅名,賃料,管理費,月額
賃貸マンション,高橋ハイツ,京王新線/幡ヶ谷駅 歩5分,幡ヶ谷,25.0,0.0,25.0
賃貸マンション,京急空港線 京急蒲田駅 10階建 築7年,京急空港線/京急蒲田駅 歩10分,京急蒲田,15.0,1.0,16.0
賃貸マンション,ＪＲ山手線 駒込駅 15階建 築5年,ＪＲ山手線/駒込駅 歩8分,駒込,15.5,2.0,17.5
賃貸マンション,東急田園都市線 池尻大橋駅 15階建 築8年,東急田園都市線/池尻大橋駅 歩2分,池尻大橋,18.5,1.0,19.5
賃貸マンション,東急田園都市線 池尻大橋駅 15階建 築8年,東急田園都市線/池尻大橋駅 歩2分,池尻大橋,31.0,1.4,32.4
賃貸マンション,東急田園都市線 池尻大橋駅 15階建 築8年,東急田園都市線/池尻大橋駅 歩2分,池尻大橋,31.0,1.4,32.4
賃貸マンション,ザ・パークメゾン東大井,京急本線/鮫洲駅 歩3分,鮫洲,21.8,0.8,22.6
賃貸マンション,ザ・パークメゾン東大井,京急本線/鮫洲駅 歩3分,鮫洲,21.8,1.0,22.8
賃貸マンション,ＪＲ京浜東北線 大井町駅 10階建 築3年,ＪＲ京浜東北線/大井町駅 歩10分,大井町,21.8,1.0,22.8
賃貸マンション,都営大江戸線 牛込柳町駅 地下1地上5階建 築1年,都営大江戸線/牛込柳町駅 歩1分,牛込柳町,17.9,1.5,19.4
賃貸マンション,都営大江戸線 牛込柳町駅 地下1地上5階建 築1年,都営大江戸線/牛込柳町駅 歩1分,牛込柳町,18.1,1.5,19.6
賃貸マンション,京急本線 大森海岸駅 15階建 築4年,京急本線/大森海岸駅 歩7分,大森海岸,16.9,2.0,18.9
賃貸マンション,京急本線 大森海岸駅 15階建 築4年,京急本線/大森海岸駅 歩7分,大森海岸,17.0,2.0,19.0
賃貸マンション,ＪＲ総武線 亀戸駅 8階建 新築,ＪＲ総武線/亀戸駅 歩7分,亀戸,14.3,1.2,15.5
賃貸マンション,ＪＲ総武線 亀戸駅 8階建 新築,ＪＲ総武線/亀戸駅 歩7分,亀戸,15.9,1.2,17.1
賃貸マンション,ＪＲ総武線 亀戸駅 8階建 新築,ＪＲ総武線/亀戸駅 歩7分,亀戸,16.2,1.2,17.4
賃貸マンション,ＪＲ総武線 亀戸駅 8階建 新築,ＪＲ総武線/亀戸駅 歩7分,亀戸,16.5,1.2,17.7
賃貸マンション,クオリタス品川南,京急本線/大森海岸駅 歩7分,大森海岸,17.0,2.0,19.0
賃貸マンション,オルサス大井町,ＪＲ京浜東北線/大井町駅 歩5分,大井町,19.9,1.0,20.9
賃貸マンション,新交通ゆりかもめ 芝浦ふ頭駅 7階建 築5年,新交通ゆりかもめ/芝浦ふ頭駅 歩6分,芝浦ふ頭,17.2,1.5,18.7
賃貸マンション,新交通ゆりかもめ 芝浦ふ頭駅 7階建 築5年,新交通ゆりかもめ/芝浦ふ頭駅 歩6分,芝浦ふ頭,17.7,1.5,19.2
賃貸マンション,ニューリヴェール,ＪＲ南武線/分倍河原駅 歩3分,分倍河原,11.5,0.5,12.0
賃貸マンション,東京メトロ東西線 門前仲町駅 5階建 築3年,東京メトロ東西線/門前仲町駅 歩4分,門前仲町,14.5,1.0,15.5
