駅名,所要時間範囲,所要時間,乗り換え回数,路線名
月島,21-30分,24分,乗換1回,都営大江戸線（環状部）
門前仲町,21-30分,26分,乗換1回,都営大江戸線（環状部）
国立競技場,21-30分,27分,乗換1回,都営大江戸線（環状部）
新御徒町,21-30分,28分,乗換1回,都営大江戸線（環状部）
清澄白河,21-30分,29分,乗換1回,都営大江戸線（環状部）
森下（東京都）,21-30分,30分,乗換1回,都営大江戸線（環状部）
天王洲アイル（りんかい線）,21-30分,21分,乗換1回,りんかい線
東京テレポート,21-30分,24分,乗換1回,りんかい線
国際展示場（りんかい線）,21-30分,27分,乗換1回,りんかい線
東雲（東京都）,21-30分,29分,乗換1回,りんかい線
神谷町,21-30分,22分,乗換1回,東京メトロ日比谷線
築地,21-30分,22分,乗換1回,東京メトロ日比谷線
中目黒,21-30分,23分,乗換1回,東京メトロ日比谷線
広尾,21-30分,24分,乗換1回,東京メトロ日比谷線
八丁堀（東京都）,21-30分,24分,乗換1回,東京メトロ日比谷線
小伝馬町,21-30分,27分,乗換1回,東京メトロ日比谷線
入谷（東京都）,21-30分,28分,乗換1回,東京メトロ日比谷線
三ノ輪,21-30分,30分,乗換1回,東京メトロ日比谷線
神保町,21-30分,22分,乗換1回,都営三田線
春日（東京都）,21-30分,26分,乗換1回,都営三田線
白山（東京都）,21-30分,28分,乗換1回,都営三田線
千石,21-30分,30分,乗換1回,都営三田線
青山一丁目,21-30分,22分,乗換1回,東京メトロ銀座線
稲荷町（東京都）,21-30分,24分,乗換1回,東京メトロ銀座線
外苑前,21-30分,24分,乗換1回,東京メトロ銀座線
表参道,21-30分,24分,乗換1回,東京メトロ銀座線
田原町（東京都）,21-30分,25分,乗換1回,東京メトロ銀座線
浅草,21-30分,27分,乗換1回,東京メトロ銀座線
浅草橋,21-30分,22分,乗換1回,ＪＲ総武線各停（御茶ノ水-錦糸町）
両国〔ＪＲ〕,21-30分,23分,乗換1回,ＪＲ総武線各停（御茶ノ水-錦糸町）
錦糸町,21-30分,26分,乗換1回,ＪＲ総武線各停（御茶ノ水-錦糸町）
淡路町,21-30分,22分,乗換1回,東京メトロ丸ノ内線
本郷三丁目,21-30分,26分,乗換1回,東京メトロ丸ノ内線
後楽園,21-30分,27分,乗換1回,東京メトロ丸ノ内線
四谷三丁目,21-30分,28分,乗換2回,東京メトロ丸ノ内線
新宿御苑前,21-30分,30分,乗換2回,東京メトロ丸ノ内線
茗荷谷,21-30分,30分,乗換1回,東京メトロ丸ノ内線
鶴見,21-30分,22分,乗換0回,ＪＲ京浜東北線
田端,21-30分,23分,乗換0回,ＪＲ京浜東北線
上中里,21-30分,26分,乗換0回,ＪＲ京浜東北線
新子安,21-30分,26分,乗換0回,ＪＲ京浜東北線
王子,21-30分,28分,乗換0回,ＪＲ京浜東北線
東神奈川,21-30分,29分,乗換0回,ＪＲ京浜東北線
日の出（東京都）,21-30分,22分,乗換1回,ゆりかもめ
芝浦ふ頭,21-30分,23分,乗換1回,ゆりかもめ
お台場海浜公園,21-30分,29分,乗換1回,ゆりかもめ
武蔵小山,21-30分,22分,乗換1回,東急目黒線
西小山,21-30分,23分,乗換1回,東急目黒線
洗足,21-30分,25分,乗換1回,東急目黒線
奥沢,21-30分,29分,乗換1回,東急目黒線
田園調布,21-30分,30分,乗換1回,東急目黒線
北千束,21-30分,23分,乗換1回,東急大井町線
大岡山,21-30分,25分,乗換1回,東急大井町線
緑が丘（東京都）,21-30分,27分,乗換1回,東急大井町線
自由が丘（東京都）,21-30分,28分,乗換1回,東急大井町線
九品仏,21-30分,30分,乗換1回,東急大井町線
大井競馬場前,21-30分,24分,乗換1回,東京モノレール
流通センター,21-30分,26分,乗換1回,東京モノレール
羽田空港第3ターミナル（モノレール）,21-30分,28分,乗換1回,東京モノレール
昭和島,21-30分,29分,乗換1回,東京モノレール
竹橋,21-30分,24分,乗換1回,東京メトロ東西線
