駅名,所要時間範囲,所要時間,乗り換え回数,路線名,駅名_cleaned,station_name,address,lon,lat,company,line_name
本所吾妻橋,21-30分,30分,乗換0回,都営浅草線,本所吾妻橋,本所吾妻橋,墨田区吾妻橋３-７-１６,139.804624,35.70858,都営,浅草線
代々木,21-30分,21分,乗換0回,ＪＲ山手線,代々木,代々木,東京都渋谷区代々木一丁目34-1,139.702042,35.683061,ＪＲ,山手線
鶯谷,21-30分,22分,乗換0回,ＪＲ山手線,鶯谷,鶯谷,東京都台東区根岸一丁目4-1,139.778015,35.721484,ＪＲ,山手線
新宿,21-30分,23分,乗換0回,ＪＲ山手線,新宿,新宿,東京都新宿区新宿三丁目38-1,139.700464,35.689729,ＪＲ,山手線
日暮里,21-30分,24分,乗換0回,ＪＲ山手線,日暮里,日暮里,東京都荒川区西日暮里二丁目19-1,139.771287,35.727908,ＪＲ,山手線
新大久保,21-30分,25分,乗換0回,ＪＲ山手線,新大久保,新大久保,東京都新宿区百人町一丁目10-15,139.700261,35.700875,ＪＲ,山手線
西日暮里,21-30分,25分,乗換0回,ＪＲ山手線,西日暮里,西日暮里,東京都荒川区西日暮里五丁目22-1,139.766857,35.731954,ＪＲ,山手線
高田馬場,21-30分,27分,乗換0回,ＪＲ山手線,高田馬場,高田馬場,東京都新宿区高田馬場一丁目35-1,139.703715,35.712677,ＪＲ,山手線
駒込,21-30分,29分,乗換0回,ＪＲ山手線,駒込,駒込,東京都豊島区駒込二丁目1-1,139.748053,35.736825,ＪＲ,山手線
目白,21-30分,29分,乗換0回,ＪＲ山手線,目白,目白,東京都豊島区目白三丁目3-1,139.706228,35.720476,ＪＲ,山手線
立会川,21-30分,21分,乗換1回,京急本線,立会川,立会川,品川区東大井２-２３-１,139.738886,35.598489,京急,本線
大森海岸,21-30分,23分,乗換1回,京急本線,大森海岸,大森海岸,品川区南大井３-３２-１,139.73544,35.587576,京急,本線
平和島,21-30分,23分,乗換1回,京急本線,平和島,平和島,大田区大森北６-１３-１１,139.73491,35.57868,京急,本線
京急蒲田,21-30分,24分,乗換1回,京急本線,京急蒲田,京急蒲田,大田区蒲田４-５０-１０,139.723681,35.560796,京急,本線
大森町,21-30分,28分,乗換1回,京急本線,大森町,大森町,大田区大森西３-２４-７,139.732027,35.572431,京急,本線
梅屋敷（東京都）,21-30分,29分,乗換1回,京急本線,梅屋敷,梅屋敷,大田区蒲田２-２８-１,139.728266,35.566873,京急,本線
麻布十番,21-30分,21分,乗換1回,都営大江戸線（環状部）,麻布十番,麻布十番,港区麻布十番４-４-９,139.737051,35.654682,都営,大江戸線（環状部）
勝どき,21-30分,22分,乗換1回,都営大江戸線（環状部）,勝どき,勝どき,中央区勝どき２-１０-１５,139.776442,35.658507,都営,大江戸線（環状部）
六本木,21-30分,23分,乗換1回,都営大江戸線（環状部）,六本木,六本木,港区六本木６-１-２５,139.731443,35.662836,都営,大江戸線（環状部）
月島,21-30分,24分,乗換1回,都営大江戸線（環状部）,月島,月島,東京都中央区月島一丁目3-9,139.784233,35.664871,都営,大江戸線（環状部）
門前仲町,21-30分,26分,乗換1回,都営大江戸線（環状部）,門前仲町,門前仲町,江東区門前仲町１丁目,139.796209,35.671851,都営,大江戸線（環状部）
国立競技場,21-30分,27分,乗換1回,都営大江戸線（環状部）,国立競技場,国立競技場,新宿区霞ヶ丘町１０-３,139.714932,35.679831,都営,大江戸線（環状部）
新御徒町,21-30分,28分,乗換1回,都営大江戸線（環状部）,新御徒町,新御徒町,台東区元浅草１-５-２,139.781958,35.707045,都営,大江戸線（環状部）
清澄白河,21-30分,29分,乗換1回,都営大江戸線（環状部）,清澄白河,清澄白河,江東区白河１-７-１４,139.798851,35.682105,都営,大江戸線（環状部）
森下（東京都）,21-30分,30分,乗換1回,都営大江戸線（環状部）,森下,森下,江東区森下２-１７-１７,139.797042,35.68796,都営,大江戸線（環状部）
天王洲アイル（りんかい線）,21-30分,21分,乗換1回,りんかい線,天王洲アイル,天王洲アイル,品川区東品川２-５-１９,139.750675,35.622908,不明,りんかい線
東京テレポート,21-30分,24分,乗換1回,りんかい線,東京テレポート,東京テレポート,江東区青海１-２,139.778896,35.62753,不明,りんかい線
国際展示場（りんかい線）,21-30分,27分,乗換1回,りんかい線,国際展示場,国際展示場,江東区有明２-５-２５,139.791617,35.63441,不明,りんかい線
東雲（東京都）,21-30分,29分,乗換1回,りんかい線,東雲,東雲,江東区東雲２-８-１０,139.804395,35.640987,不明,りんかい線
神谷町,21-30分,22分,乗換1回,東京メトロ日比谷線,神谷町,神谷町,港区虎ノ門５-１２-１１,139.745069,35.662978,東京メトロ,日比谷線
築地,21-30分,22分,乗換1回,東京メトロ日比谷線,築地,築地,中央区築地３-１５-１,139.772603,35.668115,東京メトロ,日比谷線
中目黒,21-30分,23分,乗換1回,東京メトロ日比谷線,中目黒,中目黒,目黒区上目黒３-４-１,139.698621,35.643854,東京メトロ,日比谷線
広尾,21-30分,24分,乗換1回,東京メトロ日比谷線,広尾,広尾,港区南麻布５-１０-２８,139.722202,35.652279,東京メトロ,日比谷線
八丁堀（東京都）,21-30分,24分,乗換1回,東京メトロ日比谷線,八丁堀,八丁堀,中央区八丁堀３丁目,139.777705,35.674617,東京メトロ,日比谷線
小伝馬町,21-30分,27分,乗換1回,東京メトロ日比谷線,小伝馬町,小伝馬町,中央区日本橋小伝馬町１１-１,139.778433,35.690737,東京メトロ,日比谷線
入谷（東京都）,21-30分,28分,乗換1回,東京メトロ日比谷線,入谷,入谷,台東区入谷１-６-４,139.783924,35.719862,東京メトロ,日比谷線
三ノ輪,21-30分,30分,乗換1回,東京メトロ日比谷線,三ノ輪,三ノ輪,台東区三ノ輪２-１４-７,139.791485,35.729623,東京メトロ,日比谷線
神保町,21-30分,22分,乗換1回,都営三田線,神保町,神保町,千代田区神田神保町２-２,139.757606,35.695966,都営,三田線
春日（東京都）,21-30分,26分,乗換1回,都営三田線,春日,春日,文京区春日１-１６-１７,139.75325,35.709598,都営,三田線
白山（東京都）,21-30分,28分,乗換1回,都営三田線,白山,白山,文京区白山５-３６-１０,139.752136,35.721408,都営,三田線
千石,21-30分,30分,乗換1回,都営三田線,千石,千石,文京区千石１-２９-１３,139.744792,35.727957,都営,三田線
青山一丁目,21-30分,22分,乗換1回,東京メトロ銀座線,青山一丁目,青山一丁目,港区南青山１-１-１９,139.724159,35.672765,東京メトロ,銀座線
稲荷町（東京都）,21-30分,24分,乗換1回,東京メトロ銀座線,稲荷町,稲荷町,台東区東上野３-３３-１１,139.782593,35.711273,東京メトロ,銀座線
外苑前,21-30分,24分,乗換1回,東京メトロ銀座線,外苑前,外苑前,港区北青山２-７-１６,139.717857,35.670527,東京メトロ,銀座線
表参道,21-30分,24分,乗換1回,東京メトロ銀座線,表参道,表参道,港区北青山３丁目,139.712314,35.665247,東京メトロ,銀座線
田原町（東京都）,21-30分,25分,乗換1回,東京メトロ銀座線,田原町,田原町,台東区西浅草１-１-１８,139.790897,35.709897,東京メトロ,銀座線
浅草,21-30分,27分,乗換1回,東京メトロ銀座線,浅草,浅草,東京都台東区花川戸一丁目4-1,139.798214,35.711883,東京メトロ,銀座線
浅草橋,21-30分,22分,乗換1回,ＪＲ総武線各停（御茶ノ水-錦糸町）,浅草橋,浅草橋,台東区浅草橋１丁目,139.784427,35.697403,ＪＲ,総武線各停（御茶ノ水-錦糸町）
両国〔ＪＲ〕,21-30分,23分,乗換1回,ＪＲ総武線各停（御茶ノ水-錦糸町）,両国,両国,墨田区横網１丁目,139.793334,35.69579,ＪＲ,総武線各停（御茶ノ水-錦糸町）
錦糸町,21-30分,26分,乗換1回,ＪＲ総武線各停（御茶ノ水-錦糸町）,錦糸町,錦糸町,墨田区江東橋３丁目,139.814136,35.696802,ＪＲ,総武線各停（御茶ノ水-錦糸町）
淡路町,21-30分,22分,乗換1回,東京メトロ丸ノ内線,淡路町,淡路町,千代田区神田淡路町１-２,139.7675149,35.6953595,東京メトロ,丸ノ内線
本郷三丁目,21-30分,26分,乗換1回,東京メトロ丸ノ内線,本郷三丁目,本郷三丁目,文京区本郷２-３９-１,139.759914,35.706671,東京メトロ,丸ノ内線
後楽園,21-30分,27分,乗換1回,東京メトロ丸ノ内線,後楽園,後楽園,文京区春日１-２-３,139.751864,35.707898,東京メトロ,丸ノ内線
四谷三丁目,21-30分,28分,乗換2回,東京メトロ丸ノ内線,四谷三丁目,四谷三丁目,新宿区四谷３-８,139.720103,35.687958,東京メトロ,丸ノ内線
新宿御苑前,21-30分,30分,乗換2回,東京メトロ丸ノ内線,新宿御苑前,新宿御苑前,新宿区新宿１-８-１,139.71069,35.688588,東京メトロ,丸ノ内線
茗荷谷,21-30分,30分,乗換1回,東京メトロ丸ノ内線,茗荷谷,茗荷谷,文京区小日向４-６-１５,139.737184,35.716989,東京メトロ,丸ノ内線
鶴見,21-30分,22分,乗換0回,ＪＲ京浜東北線,鶴見,鶴見,横浜市鶴見区鶴見中央,139.67614,35.508387,ＪＲ,京浜東北線
田端,21-30分,23分,乗換0回,ＪＲ京浜東北線,田端,田端,東京都北区東田端一丁目17-1,139.761229,35.737781,ＪＲ,京浜東北線
上中里,21-30分,26分,乗換0回,ＪＲ京浜東北線,上中里,上中里,北区上中里１丁目,139.745769,35.74728,ＪＲ,京浜東北線
新子安,21-30分,26分,乗換0回,ＪＲ京浜東北線,新子安,新子安,横浜市神奈川区子安通,139.654776,35.487064,ＪＲ,京浜東北線
王子,21-30分,28分,乗換0回,ＪＲ京浜東北線,王子,王子,北区王子１丁目,139.73809,35.752538,ＪＲ,京浜東北線
東神奈川,21-30分,29分,乗換0回,ＪＲ京浜東北線,東神奈川,東神奈川,横浜市神奈川区東神奈川,139.633466,35.47804,ＪＲ,京浜東北線
日の出（東京都）,21-30分,22分,乗換1回,ゆりかもめ,日の出,日の出,港区海岸２-７-６８,139.75906,35.649136,不明,ゆりかもめ
芝浦ふ頭,21-30分,23分,乗換1回,ゆりかもめ,芝浦ふ頭,芝浦ふ頭,港区海岸３-２２-１２,139.757852,35.641773,不明,ゆりかもめ
お台場海浜公園,21-30分,29分,乗換1回,ゆりかもめ,お台場海浜公園,お台場海浜公園,港区台場２-３,139.778607,35.629813,不明,ゆりかもめ
武蔵小山,21-30分,22分,乗換1回,東急目黒線,武蔵小山,武蔵小山,品川区小山３-４-８,139.704524,35.620538,東急,目黒線
西小山,21-30分,23分,乗換1回,東急目黒線,西小山,西小山,品川区小山６-３-１０,139.698694,35.615455,東急,目黒線
洗足,21-30分,25分,乗換1回,東急目黒線,洗足,洗足,目黒区洗足２-２１-１,139.694367,35.61043,東急,目黒線
奥沢,21-30分,29分,乗換1回,東急目黒線,奥沢,奥沢,世田谷区奥沢３-４７-１７,139.672355,35.603947,東急,目黒線
田園調布,21-30分,30分,乗換1回,東急目黒線,田園調布,田園調布,大田区田園調布３-２５-１８,139.667356,35.596815,東急,目黒線
北千束,21-30分,23分,乗換1回,東急大井町線,北千束,北千束,大田区北千束２-１６-１,139.693303,35.606311,東急,大井町線
大岡山,21-30分,25分,乗換1回,東急大井町線,大岡山,大岡山,大田区北千束３-２７-１,139.685909,35.607456,東急,大井町線
緑が丘（東京都）,21-30分,27分,乗換1回,東急大井町線,緑が丘,緑が丘,目黒区緑が丘３-１-１２,139.679482,35.60638,東急,大井町線
自由が丘（東京都）,21-30分,28分,乗換1回,東急大井町線,自由が丘,自由が丘,目黒区自由が丘１-３０-１,139.668664,35.607224,東急,大井町線
九品仏,21-30分,30分,乗換1回,東急大井町線,九品仏,九品仏,世田谷区奥沢７-２０-１,139.660992,35.60538,東急,大井町線
大井競馬場前,21-30分,24分,乗換1回,東京モノレール,大井競馬場前,大井競馬場前,品川区勝島２-２-３５,139.74708,35.595006,不明,東京モノレール
流通センター,21-30分,26分,乗換1回,東京モノレール,流通センター,流通センター,大田区平和島６-１-２,139.748964,35.58186,不明,東京モノレール
羽田空港第3ターミナル（モノレール）,21-30分,28分,乗換1回,東京モノレール,羽田空港第3ターミナル,羽田空港第3ターミナル,東京都大田区羽田空港二丁目6番5号,139.768968,35.544676,不明,東京モノレール
昭和島,21-30分,29分,乗換1回,東京モノレール,昭和島,昭和島,大田区昭和島２-２-１,139.749918,35.570656,不明,東京モノレール
竹橋,21-30分,24分,乗換1回,東京メトロ東西線,竹橋,竹橋,千代田区一ッ橋１-１-１,139.756817,35.690662,東京メトロ,東西線
茅場町,21-30分,25分,乗換1回,東京メトロ東西線,茅場町,茅場町,中央区日本橋茅場町１-４-６,139.780005,35.679752,東京メトロ,東西線
九段下,21-30分,26分,乗換1回,東京メトロ東西線,九段下,九段下,千代田区九段南１-６-１,139.751948,35.695589,東京メトロ,東西線
木場,21-30分,29分,乗換1回,東京メトロ東西線,木場,木場,江東区木場５-５-１,139.807042,35.669351,東京メトロ,東西線
神楽坂,21-30分,30分,乗換1回,東京メトロ東西線,神楽坂,神楽坂,新宿区矢来町１１２,139.734546,35.70379,東京メトロ,東西線
馬喰町,21-30分,25分,乗換1回,ＪＲ総武本線（東京-銚子）,馬喰町,馬喰町,中央区日本橋馬喰町１丁目,139.78238,35.693365,ＪＲ,総武本線（東京-銚子）
亀戸,21-30分,28分,乗換1回,ＪＲ総武本線（東京-銚子）,亀戸,亀戸,江東区亀戸５丁目,139.826262,35.697345,ＪＲ,総武本線（東京-銚子）
平井（東京都）,21-30分,30分,乗換1回,ＪＲ総武本線（東京-銚子）,平井,平井,江戸川区平井３丁目,139.842181,35.70643,ＪＲ,総武本線（東京-銚子）
矢口渡,21-30分,25分,乗換1回,東急多摩川線,矢口渡,矢口渡,大田区多摩川１-２０-１５,139.700389,35.562462,東急,多摩川線
武蔵新田,21-30分,26分,乗換1回,東急多摩川線,武蔵新田,武蔵新田,大田区矢口１-１８-１,139.692506,35.567806,東急,多摩川線
下丸子,21-30分,28分,乗換1回,東急多摩川線,下丸子,下丸子,大田区下丸子３-７-１,139.685576,35.571397,東急,多摩川線
鵜の木,21-30分,29分,乗換1回,東急多摩川線,鵜の木,鵜の木,大田区鵜の木２-４-１,139.680554,35.575452,東急,多摩川線
池尻大橋,21-30分,26分,乗換1回,東急田園都市線,池尻大橋,池尻大橋,世田谷区池尻３-２,139.684319,35.650603,東急,田園都市線
三軒茶屋,21-30分,28分,乗換1回,東急田園都市線,三軒茶屋,三軒茶屋,世田谷区太子堂４-２１-１,139.670156,35.643716,東急,田園都市線
